date,street,people_count
2022-05-04,Bourke Street Mall (North),15553
2022-05-04,Chinatown-Swanston St (North),6945
2022-05-04,Spencer St-Collins St (North),18068
2022-05-04,Melbourne Central,21447
2022-05-04,QV Market-Peel St,1857
2022-05-04,Southern Cross Station,12586
2022-05-03,Spencer St-Collins St (North),18535
2022-05-03,Southern Cross Station,12403
2022-05-03,QV Market-Peel St,2378
2022-05-03,Melbourne Central,20450
2022-05-03,Collins Place (North),6746
2022-05-03,Chinatown-Swanston St (North),7159
2022-05-03,Bourke Street Mall (North),16411
2022-05-02,Bourke Street Mall (North),16227
2022-05-02,Chinatown-Swanston St (North),7586
2022-05-02,Collins Place (North),5308
2022-05-02,Melbourne Central,19755
2022-05-02,QV Market-Peel St,1733
2022-05-02,Spencer St-Collins St (North),16298
2022-05-02,Southern Cross Station,9114
2022-05-01,Spencer St-Collins St (North),11635
2022-05-01,Southern Cross Station,2036
2022-05-01,QV Market-Peel St,3693
2022-05-01,Melbourne Central,22777
2022-05-01,Collins Place (North),1327
2022-05-01,Chinatown-Swanston St (North),11588
2022-05-01,Bourke Street Mall (North),20289
2022-04-30,Melbourne Central,27925
2022-04-30,Chinatown-Swanston St (North),13380
2022-04-30,Collins Place (North),2177
2022-04-30,Bourke Street Mall (North),26058
2022-04-30,QV Market-Peel St,4313
2022-04-30,Spencer St-Collins St (North),14804
2022-04-30,Southern Cross Station,0
2022-04-29,Melbourne Central,20485
2022-04-29,Chinatown-Swanston St (North),8958
2022-04-29,Collins Place (North),5017
2022-04-29,Bourke Street Mall (North),18157
2022-04-29,QV Market-Peel St,2490
2022-04-29,Southern Cross Station,0
2022-04-29,Spencer St-Collins St (North),18929
2022-04-28,Spencer St-Collins St (North),19212
2022-04-28,Southern Cross Station,0
2022-04-28,QV Market-Peel St,2370
2022-04-28,Melbourne Central,21734
2022-04-28,Collins Place (North),6405
2022-04-28,Chinatown-Swanston St (North),8415
2022-04-28,Bourke Street Mall (North),18665
2022-04-27,Melbourne Central,19525
2022-04-27,Bourke Street Mall (North),16529
2022-04-27,Chinatown-Swanston St (North),7186
2022-04-27,Collins Place (North),6178
2022-04-27,Spencer St-Collins St (North),18131
2022-04-27,QV Market-Peel St,1930
2022-04-27,Southern Cross Station,0
2022-04-26,Spencer St-Collins St (North),17573
2022-04-26,Southern Cross Station,0
2022-04-26,QV Market-Peel St,2221
2022-04-26,Melbourne Central,19166
2022-04-26,Collins Place (North),5789
2022-04-26,Chinatown-Swanston St (North),6836
2022-04-26,Bourke Street Mall (North),16172
