,Product code,Bureau of Meteorology station number,Year,Month,Day,max_temp,Days of accumulation of maximum temperature,Quality,date
3233,IDCJAC0010,86338,2021,11,8,17.4,1.0,Y,2021-11-08
3234,IDCJAC0010,86338,2021,11,9,20.3,1.0,Y,2021-11-09
3235,IDCJAC0010,86338,2021,11,10,15.2,1.0,Y,2021-11-10
3236,IDCJAC0010,86338,2021,11,11,16.4,1.0,Y,2021-11-11
3237,IDCJAC0010,86338,2021,11,12,14.0,1.0,Y,2021-11-12
3238,IDCJAC0010,86338,2021,11,13,14.6,1.0,Y,2021-11-13
3239,IDCJAC0010,86338,2021,11,14,15.3,1.0,Y,2021-11-14
3240,IDCJAC0010,86338,2021,11,15,13.8,1.0,Y,2021-11-15
3241,IDCJAC0010,86338,2021,11,16,15.0,1.0,Y,2021-11-16
3242,IDCJAC0010,86338,2021,11,17,19.8,1.0,Y,2021-11-17
3243,IDCJAC0010,86338,2021,11,18,26.9,1.0,Y,2021-11-18
3244,IDCJAC0010,86338,2021,11,19,17.3,1.0,Y,2021-11-19
3245,IDCJAC0010,86338,2021,11,20,16.9,1.0,Y,2021-11-20
3246,IDCJAC0010,86338,2021,11,21,17.2,1.0,Y,2021-11-21
3247,IDCJAC0010,86338,2021,11,22,20.8,1.0,Y,2021-11-22
3248,IDCJAC0010,86338,2021,11,23,26.1,1.0,Y,2021-11-23
3249,IDCJAC0010,86338,2021,11,24,26.6,1.0,Y,2021-11-24
3250,IDCJAC0010,86338,2021,11,25,16.7,1.0,Y,2021-11-25
3251,IDCJAC0010,86338,2021,11,26,20.6,1.0,Y,2021-11-26
3252,IDCJAC0010,86338,2021,11,27,21.6,1.0,Y,2021-11-27
3253,IDCJAC0010,86338,2021,11,28,22.1,1.0,Y,2021-11-28
3254,IDCJAC0010,86338,2021,11,29,28.7,1.0,Y,2021-11-29
3255,IDCJAC0010,86338,2021,11,30,31.6,1.0,Y,2021-11-30
3256,IDCJAC0010,86338,2021,12,1,32.4,1.0,Y,2021-12-01
3257,IDCJAC0010,86338,2021,12,2,33.0,1.0,Y,2021-12-02
3258,IDCJAC0010,86338,2021,12,3,20.4,1.0,Y,2021-12-03
3259,IDCJAC0010,86338,2021,12,4,18.8,1.0,Y,2021-12-04
3260,IDCJAC0010,86338,2021,12,5,21.5,1.0,Y,2021-12-05
3261,IDCJAC0010,86338,2021,12,6,27.4,1.0,Y,2021-12-06
3262,IDCJAC0010,86338,2021,12,7,16.0,1.0,Y,2021-12-07
3263,IDCJAC0010,86338,2021,12,8,17.3,1.0,Y,2021-12-08
3264,IDCJAC0010,86338,2021,12,9,17.7,1.0,Y,2021-12-09
3265,IDCJAC0010,86338,2021,12,10,17.9,1.0,Y,2021-12-10
3266,IDCJAC0010,86338,2021,12,11,22.4,1.0,Y,2021-12-11
